artist,song,date,rank,weeks-on-board
Kim Carnes,Voyeur,1982-11-06,29,12
Kim Carnes,You Make My Heart Beat Faster,1984-03-10,54,8
Kim Mitchell,Go For Soda,1985-07-13,86,9
Kim Sanders,Jealousy,1998-04-11,89,10
Kim Weston,Helpless,1966-04-23,56,7
Kim Weston,I Got What You Need,1967-04-29,99,1
Kim Weston,Love Me All The Way,1963-09-07,88,5
Kim Weston,Take Me In Your Arms (Rock Me A Little While),1965-11-20,50,8
Kim Wilde,Go For It,1985-03-02,65,7
Kim Wilde,Kids In America,1982-09-18,25,18
Kim Wilde,Say You Really Want Me,1987-09-05,44,8
Kim Wilde,You Came,1988-11-19,41,10
Kim Wilde,You Keep Me Hangin' On,1987-08-15,1,21
Kimberley Locke,8th World Wonder,2004-08-07,49,20
Kimberly Nichole,House Of The Rising Sun,2015-05-02,100,1
Kimberly Scott,Tuck Me In,1998-03-14,58,14
King,Love And Pride,1985-09-28,55,11
King Crimson,The Court Of The Crimson King - Part 1,1970-02-14,80,3
King Curtis,Do The Monkey,1963-09-07,92,2
King Curtis,Jump Back,1967-06-17,63,6
King Curtis,Memphis Soul Stew,1967-10-21,33,9
King Curtis,Soul Serenade,1964-05-30,51,12
King Curtis,Spanish Harlem,1966-01-22,89,5
King Curtis & The Kingpins,(Sittin' On) The Dock Of The Bay,1968-04-06,84,5
King Curtis & The Kingpins,For What It's Worth,1967-12-16,87,4
King Curtis & The Kingpins,Harper Valley P.T.A.,1968-10-19,93,2
King Curtis & The Kingpins,I Heard It Thru The Grapevine,1968-08-24,83,3
King Curtis & The Kingpins,I Was Made To Love Her,1968-02-17,76,6
King Curtis & The Kingpins,Valley Of The Dolls,1968-06-22,83,2
King Curtis & The Kingpins,Whole Lotta Love,1971-02-27,64,6
King Curtis And The Noble Knights,Beach Party,1962-09-15,60,9
King Curtis And The Noble Knights,Soul Twist,1962-06-02,17,13
King Floyd,Baby Let Me Kiss You,1971-05-22,29,11
King Floyd,Groove Me,1971-03-06,6,20
King Floyd,Woman Don't Go Astray,1972-12-02,53,12
King Harvest,A Little Bit Like Magic,1973-05-26,91,4
King Harvest,Dancing In The Moonlight,1973-03-24,13,22
King Just,Warrior's Drum,1994-07-30,96,5
King Von,Took Her To The O,2021-01-16,47,8
King Von Featuring Lil Durk,All These N**gas,2020-11-21,77,1
King Von Featuring Lil Durk,Crazy Story 2.0,2020-11-21,81,1
King Von Featuring Polo G,The Code,2020-11-21,66,1
Kingdom Come,Get It On,1988-05-07,69,6
Kingofthehill,If I Say,1991-09-14,63,6
Kings Of Leon,Notion,2009-10-31,99,1
Kings Of Leon,Radioactive,2010-11-20,37,5
Kings Of Leon,Sex On Fire,2009-03-21,56,20
Kings Of Leon,The End,2010-11-06,82,1
Kings Of Leon,Use Somebody,2010-03-13,4,57
Kings Of The Sun,Black Leather,1988-08-06,98,2
Kinsu,Tha Hop,1998-03-14,88,8
Kip Moore,Beer Money,2013-02-16,51,20
Kip Moore,Hey Pretty Girl,2013-08-17,41,20
Kip Moore,I'm To Blame,2015-09-12,100,1
Kip Moore,Last Shot,2019-01-19,53,8
Kip Moore,More Girls Like You,2017-11-18,66,12
Kip Moore,Somethin' 'Bout A Truck,2012-07-07,29,20
Kirby St. Romain,Summer's Comin',1963-07-27,49,7
Kirk Franklin,I Smile,2011-08-13,85,18
Kirk Franklin,Looking For You,2006-04-22,61,20
"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",Lean On Me,1999-01-02,79,5
Kirko Bangz,Drank In My Cup,2012-07-21,28,22
Kissing The Pink,Maybe This Day,1983-09-03,87,5
Kitty Kallen,If I Give My Heart To You,1959-12-21,34,12
Kitty Kallen,My Coloring Book,1963-02-23,18,10
Kitty Kallen,That Old Feeling,1960-02-29,55,5
Kitty Wells,Jealousy,1958-08-11,83,2
Klaatu,Sub-rosa Subway/calling Occupants,1977-05-07,62,6
Klique,Stop Doggin' Me Around,1983-12-03,50,9
Klymaxx,I Miss You,1986-03-29,5,29
Klymaxx,I'd Still Say Yes,1987-09-12,18,20
Klymaxx,"Man Size Love (From ""Running Scared"")",1986-10-11,15,15
Klymaxx,Meeting In The Ladies Room,1985-07-20,59,11
Klymaxx,The Men All Pause,1986-04-05,80,8
"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",Knoc,2002-03-23,98,3
Ko Ko Taylor,Wang Dang Doodle,1966-06-11,58,8
Kodak Black,Calling My Spirit,2019-04-06,46,17
Kodak Black,Everything 1K,2017-03-04,84,1
Kodak Black,First Day Out,2017-07-08,61,1
Kodak Black,"If I'm Lyin, I'm Flyin",2018-10-27,56,3
Kodak Black,No Flockin,2017-01-14,95,1
Kodak Black,Patty Cake,2017-09-09,76,3
Kodak Black,Take One,2018-12-01,81,1
Kodak Black,Testimony,2018-12-29,74,1
Kodak Black,Transportin',2017-12-23,46,16
Kodak Black,Tunnel Vision,2017-07-22,6,20
Kodak Black Featuring Future,Conscience,2017-04-22,93,1
Kodak Black Featuring Juice WRLD,MoshPit,2018-12-29,58,1
Kodak Black Featuring Lil Pump,Gnarly,2018-12-29,88,1
Kodak Black Featuring Lil Wayne,Codeine Dreaming,2018-03-10,52,14
Kodak Black Featuring Travis Scott & Offset,ZEZE,2019-04-13,2,25
Kodak Black Featuring XXXTENTACION,Roll In Peace,2018-02-24,31,26
Koffee Brown,After Party,2001-05-26,44,20
Kokomo,Asia Minor,1961-05-22,8,14
Kon Kan,I Beg Your Pardon,1989-04-22,15,18
Kon Kan,Puss N' Boots/These Boots (Are Made For Walkin'),1989-10-21,58,8
Kongas,Africanism/Gimme Some Lovin',1978-05-20,84,7
Kool & The Gang,Big Fun,1982-11-06,21,11
Kool & The Gang,Caribbean Festival,1975-12-20,55,7
Kool & The Gang,Celebration,1981-05-16,1,30
Kool & The Gang,Cherish,1985-12-21,2,25
Kool & The Gang,Emergency,1986-02-08,18,16
Kool & The Gang,Fresh,1985-07-27,9,19
Kool & The Gang,Funky Man,1970-10-17,87,4
Kool & The Gang,Funky Stuff,1973-11-24,29,12
Kool & The Gang,Get Down On It,1982-06-19,10,17
Kool & The Gang,Higher Plane,1974-10-26,37,8
Kool & The Gang,Holiday,1987-08-08,66,7
Kool & The Gang,Hollywood Swinging,1974-08-24,6,19
Kool & The Gang,Joanna,1984-04-14,2,24
Kool & The Gang,Jones Vs. Jones,1981-07-25,39,11
Kool & The Gang,Jungle Boogie,1974-05-04,4,22
Kool & The Gang,Kool And The Gang,1969-11-29,59,12
Kool & The Gang,Ladies Night,1980-03-15,8,24
Kool & The Gang,Let The Music Take Your Mind,1970-08-08,78,6
Kool & The Gang,"Let's Go Dancin' (ooh La, La, La)",1983-02-05,30,15
Kool & The Gang,Love And Understanding (Come Together),1976-05-08,77,8
Kool & The Gang,Misled,1985-05-04,10,24
Kool & The Gang,Open Sesame - Part 1,1977-01-29,55,13
Kool & The Gang,Rhyme Tyme People,1975-02-22,63,8
Kool & The Gang,Special Way,1988-01-16,72,14
Kool & The Gang,Spirit Of The Boogie/Summer Madness,1975-07-26,35,17
Kool & The Gang,Steppin' Out,1982-02-20,89,2
Kool & The Gang,Stone Love,1987-06-06,10,18
Kool & The Gang,Take My Heart (You Can Have It If You Want It),1982-02-06,17,17
Kool & The Gang,The Gangs Back Again,1970-01-24,85,5
Kool & The Gang,Tonight,1984-06-23,13,18
Kool & The Gang,Too Hot,1980-05-17,5,18
Kool & The Gang,Victory,1987-02-28,10,18
Kool G Rap,Fast Life,1996-02-17,74,12
Kool Moe Dee,Go See The Doctor,1987-05-16,89,5
Kool Moe Dee,"Wild, Wild West",1988-07-09,62,11
Korn,Coming Undone,2006-08-12,79,6
Korn,Did My Time,2003-10-11,38,10
Korn,Here To Stay,2002-08-10,72,12
Korn,Twisted Transistor,2006-02-04,64,11
Korn Featuring Amy Lee,Freak On A Leash (Unplugged),2007-03-17,89,1
Korona,Let Me Be,1980-05-10,43,8
Koryn Hawthorne,Make It Rain,2015-05-09,84,1
Kraftwerk,Autobahn,1975-05-17,25,10
Kraftwerk,Trans-europe Express,1978-07-22,67,7
Kreayshawn,Gucci Gucci,2011-10-15,57,10
Krewella,Alive,2013-07-13,32,20
Krewella,Live For The Night,2013-07-20,100,1
Kris Allen,Ain't No Sunshine,2009-06-13,37,2
Kris Allen,Apologize,2009-06-06,66,1
Kris Allen,Falling Slowly,2009-06-06,94,1
Kris Allen,Heartless,2009-06-20,16,3
Kris Allen,Let It Be,2010-03-20,63,2
Kris Allen,Live Like We're Dying,2010-05-29,18,29
Kris Allen,No Boundaries,2009-06-20,11,3
Kris Jensen,Torture,1962-12-01,20,14
Kris Kristofferson,Jesus Was A Capricorn,1973-01-13,91,3
Kris Kristofferson,Josie,1972-04-29,63,8
Kris Kristofferson,Loving Her Was Easier (Than Anything I'll Ever Do Again),1971-11-13,26,13
Kris Kristofferson,Watch Closely Now,1977-06-25,52,6
Kris Kristofferson,Why Me,1973-12-22,16,38
Kris Kristofferson & Rita Coolidge,A Song I'd Like To Sing,1974-01-19,49,10
Kris Kristofferson & Rita Coolidge,Loving Arms,1974-04-20,86,5
Kris Kross,I Missed The Bus,1993-01-09,63,15
Kris Kross,I'm Real,1993-12-25,84,6
Kris Kross,Jump,1992-08-22,1,21
Kris Kross,Live And Die For Hip Hop,1996-06-29,72,10
Kris Kross,Tonite's Tha Night,1996-04-20,12,20
Kris Kross,Warm It Up,1992-10-17,13,20
Kris Kross Featuring Supercat,Alright,1993-12-04,19,19
Kris Wu,Like That,2018-06-02,73,1
Kristen Bell & Idina Menzel,For The First Time In Forever,2014-05-17,57,19
Kristen Bell & Santino Fontana,Love Is An Open Door,2014-04-19,49,4
"Kristen Bell, Agatha Lee Monn & Katie Lopez",Do You Want To Build A Snowman?,2014-05-10,51,18
Kristine W,One More Try,1996-09-07,78,15
Kristinia DeBarge,Goodbye,2009-08-22,15,16
Kristy And Jimmy McNichol,He's So Fine,1978-09-09,70,8
Krokus,Midnite Maniac,1984-10-20,71,6
Krokus,School's Out,1986-07-19,67,7
Kumbia Kings Featuring A.B. Quintanilla,U Don't Love Me,2000-05-06,62,10
Kungs vs Cookin' On 3 Burners,This Girl,2016-11-12,26,14
Kurtis Blow,Basketball,1985-05-18,71,6
Kurtis Blow,The Breaks (Part 1),1980-10-11,87,6
Kut Klose,I Like,1995-08-26,34,20
Kygo & Ellie Goulding,First Time,2017-05-20,67,1
Kygo & Imagine Dragons,Born To Be Yours,2018-07-07,74,2
Kygo & OneRepublic,Lose Somebody,2020-06-13,88,1
Kygo Featuring Conrad,Firestone,2015-10-03,92,1
Kygo Featuring Miguel,Remind Me To Forget,2018-10-06,63,11
Kygo X Whitney Houston,Higher Love,2019-11-16,63,9
Kygo x Selena Gomez,It Ain't Me,2017-09-16,10,29
Kylie Minogue,Can't Get You Out Of My Head,2002-06-08,7,20
Kylie Minogue,Come Into My World,2003-02-01,91,8
Kylie Minogue,I Should Be So Lucky,1988-08-06,28,14
Kylie Minogue,It's No Secret,1989-03-04,37,13
Kylie Minogue,Love At First Sight,2002-10-12,23,16
Kylie Minogue,Slow,2004-03-06,91,3
Kylie Minogue,The Loco-Motion,1989-02-25,3,27
Kym Sims,Take My Advice,1992-06-06,86,5
Kym Sims,Too Blind To See It,1992-03-28,38,20
Kyper,Tic-Tac-Toe,1990-12-15,14,25
Kyu Sakamoto,China Nights (Shina No Yoru),1963-09-28,58,6
Kyu Sakamoto,Sukiyaki,1963-08-10,1,14
L'Trimm,Cars With The Boom,1988-12-31,54,15
L.A. Guns,It's Over Now,1992-05-23,62,11
L.A. Guns,The Ballad Of Jayne,1990-09-01,33,22
L.A. Jets,Prisoner (Captured By Your Eyes),1977-01-22,86,5
L.A. Style,James Brown Is Dead,1992-08-29,59,20
L.A.D.,Ridin' Low,1996-03-30,47,20
L.B.C. Crew Feat. Tray D & South Sentrell,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",1996-04-27,75,20
L.F.O. (Lyte Funky Ones) (Featuring Kayo),If I Can't Have You,1998-11-28,70,4
L.T.D.,Holding On (When Love Is Gone),1978-10-21,49,10
L.T.D.,Love Ballad,1977-01-29,20,18
L.T.D.,Love To The World,1977-02-12,91,3
L.T.D.,Never Get Enough Of Your Love,1978-04-22,56,7
L.T.D.,Shine On,1981-02-28,40,16
L.V.,Throw Your Hands Up,1996-03-02,63,16
LANCO,Greatest Love Story,2018-02-03,45,21
LFO,Every Other Time,2001-12-22,44,18
LFO,Girl On TV,2000-03-11,10,17
LFO,I Don't Wanna Kiss You Goodnight,2000-05-13,61,5
LFO,Summer Girls,1999-11-06,3,17
LFO,West Side Story,2000-08-26,84,4
LL Cool J,6 Minutes Of Pleasure,1991-09-21,95,2
LL Cool J,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",1997-03-08,46,11
LL Cool J,Around The Way Girl,1991-05-04,9,23
LL Cool J,Back Seat (Of My Jeep),1993-09-11,42,13
LL Cool J,Doin It,1996-07-20,9,20
LL Cool J,Father,1998-05-16,18,16
LL Cool J,"Going Back To Cali (From ""Less Than Zero"")",1988-05-21,31,14
LL Cool J,Headsprung,2004-11-20,16,20
LL Cool J,Hey Lover,1996-04-06,3,21
LL Cool J,How I'm Comin',1993-05-29,57,9
LL Cool J,I Need Love,1987-10-24,14,13
LL Cool J,I'm Bad,1987-08-01,84,4
LL Cool J,I'm That Type Of Guy,1989-09-23,15,16
LL Cool J,Imagine That,2000-08-19,98,2
LL Cool J,Loungin,1997-01-18,3,29
LL Cool J,Luv U Better,2003-01-18,4,22
LL Cool J,Mama Said Knock You Out,1991-07-27,17,16
LL Cool J,Phenomenon,1997-12-27,55,9
LL Cool J,The Boomin' System,1990-12-08,48,11
LL Cool J Featuring 7 Aurelius,Hush,2005-01-22,26,18
LL Cool J Featuring Amerie,Paradise,2003-03-22,36,15
LL Cool J Featuring Jennifer Lopez,Control Myself,2006-06-17,4,11
"LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P","4, 3, 2, 1",1998-03-14,75,12
LL Cool J Featuring The-Dream,Baby,2008-10-18,52,11
LMFAO,I'm In Miami Trick,2009-10-24,51,20
LMFAO,La La La,2009-11-14,55,7
LMFAO,Sexy And I Know It,2012-06-30,1,42
LMFAO,Sorry For Party Rocking,2012-04-21,49,11
LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,2012-07-21,1,68
LMFAO Featuring Lil Jon,Shots,2010-04-24,68,18
LOCASH,I Know Somebody,2016-11-26,52,11
LOCASH,I Love This Life,2016-03-12,56,18
LOCASH,One Big Country Song,2020-08-22,50,11
LSG,My Body,1998-03-14,4,20
LTD,(Every Time I Turn Around) Back In Love Again,1978-02-18,4,19
La Bouche,Be My Lover,1996-07-27,6,38
La Bouche,Sweet Dreams,1996-11-02,13,32
La Bouche,You Won't Forget Me,1998-10-17,48,20
La Flavour,Only The Lonely (Have A Reason To Be Sad),1980-06-21,91,2
La Roux,Bulletproof,2010-09-18,8,27
LaTanya Featuring Twista,Whatuon,1998-07-25,85,7
LaTour,People Are Still Having Sex,1991-06-15,35,11
LaToya Jackson,Heart Don't Lie,1984-06-23,56,8
LaVern Baker,Bumble Bee,1961-01-23,46,11
LaVern Baker,Fly Me To The Moon,1965-02-20,84,2
LaVern Baker,I Cried A Tear,1959-04-27,6,21
LaVern Baker,I Waited Too Long,1959-06-29,33,11
LaVern Baker,If You Love Me,1959-08-24,79,2
LaVern Baker,Saved,1961-05-22,37,7
LaVern Baker,See See Rider,1963-02-09,34,11
LaVern Baker,Shadows Of Love,1960-06-13,83,4
LaVern Baker,So High So Low,1959-09-28,52,10
LaVern Baker,Tiny Tim,1959-12-28,63,9
LaVern Baker,Wheel Of Fortune,1960-05-23,83,4
LaVern Baker & Jimmy Ricks,You're The Boss,1961-02-27,81,3
Laban,Love In Siberia,1986-11-29,88,4
Labelle,Lady Marmalade,1975-05-03,1,18
Labelle,What Can I Do For You?,1975-06-14,48,6
Labrinth Featuring Emeli Sande,Beneath Your Beautiful,2013-09-28,34,14
"Labrinth, Sia & Diplo Present... LSD",Thunderclouds,2018-10-27,67,5
Lady A,Champagne Night,2021-02-06,33,14
Lady A,Like A Lady,2021-11-06,85,3
Lady Antebellum,American Honey,2010-06-12,25,20
Lady Antebellum,Bartender,2014-10-18,31,20
Lady Antebellum,Compass,2014-04-05,46,20
Lady Antebellum,Dancin' Away With My Heart,2012-06-02,46,19
Lady Antebellum,Downtown,2013-07-06,29,20
Lady Antebellum,Goodbye Town,2013-09-21,80,11
Lady Antebellum,Hello World,2011-04-09,58,20
Lady Antebellum,I Run To You,2009-08-22,27,21
Lady Antebellum,Just A Kiss,2012-03-03,7,42
Lady Antebellum,Lookin' For A Good Time,2009-01-31,67,15
Lady Antebellum,Love Don't Live Here,2008-07-12,53,18
Lady Antebellum,Love This Pain,2010-01-23,93,1
Lady Antebellum,Need You Now,2010-10-16,2,60
Lady Antebellum,Our Kind Of Love,2010-11-06,51,20
Lady Antebellum,Ready To Love Again,2010-01-30,72,1
Lady Antebellum,Wanted You More,2012-09-15,34,5
Lady Antebellum,We Owned The Night,2012-01-14,31,20
Lady Antebellum,What If I Never Get Over You,2020-01-25,40,21
Lady Antebellum,You Look Good,2017-09-09,59,20
Lady Flash,Street Singin',1976-10-02,27,12
Lady Gaga,A-YO,2016-11-12,66,1
Lady Gaga,Alejandro,2010-09-18,5,23
Lady Gaga,Alice,2020-06-13,84,1
Lady Gaga,Always Remember Us This Way,2019-03-23,41,9
Lady Gaga,Applause,2014-02-01,4,23
Lady Gaga,Bad Romance,2017-02-25,2,35
Lady Gaga,Born This Way,2011-07-09,1,20
Lady Gaga,Dope,2013-11-30,8,2
Lady Gaga,G.U.Y.,2014-04-12,76,1
Lady Gaga,Hair,2011-06-04,12,1
Lady Gaga,I'll Never Love Again,2019-03-09,36,7
Lady Gaga,Is That Alright?,2018-10-20,63,1
Lady Gaga,Judas,2011-06-25,10,8
Lady Gaga,LoveGame,2009-09-26,5,22
Lady Gaga,Marry The Night,2012-02-11,29,12
Lady Gaga,Million Reasons,2017-04-22,4,20
Lady Gaga,Paparazzi,2010-03-13,6,27
Lady Gaga,Perfect Illusion,2016-11-12,15,6
Lady Gaga,Poker Face,2009-10-03,1,40
Lady Gaga,Speechless,2009-12-12,94,1
Lady Gaga,Stupid Love,2020-06-13,5,10
Lady Gaga,The Cure,2017-08-05,39,14
Lady Gaga,The Edge Of Glory,2011-11-05,3,24
Lady Gaga,Til It Happens To You,2016-03-19,95,1
Lady Gaga,Venus,2013-11-16,32,1
Lady Gaga,You And I,2011-12-31,6,20
Lady Gaga & Ariana Grande,Rain On Me,2020-10-17,1,20
Lady Gaga & BLACKPINK,Sour Candy,2020-06-20,33,2
Lady Gaga & Bradley Cooper,Shallow,2019-08-17,1,45
Lady Gaga Featuring Beyonce,Telephone,2010-07-24,3,33
Lady Gaga Featuring Colby O'Donis,Just Dance,2009-07-25,1,49
Lady Gaga Featuring R. Kelly,Do What U Want,2014-03-15,13,19
Lady Sovereign,Love Me Or Hate Me (F**k You!!!!),2007-01-20,45,9
Laid Back,White Horse,1984-06-23,26,18
Lainey Wilson,Things A Man Oughta Know,2021-10-09,32,20
Laissez Faire,In Paradise,1992-03-28,64,17
Lake,Time Bomb,1977-11-05,83,3
Lakeside,Fantastic Voyage,1981-03-21,55,8
Lale Anderson,(A Ship Will Come) Ein Schiff Wird Kommen,1961-05-15,88,4
Lally Stott,"Chirpy Chirpy, Cheep Cheep",1971-04-17,92,2
Lalo Schifrin,Mission-Impossible,1968-04-06,41,14
Lamont Dozier,Fish Ain't Bitin',1974-08-31,26,12
Lamont Dozier,Let Me Start Tonite,1975-02-01,87,5
Lamont Dozier,Trying To Hold On To My Woman,1974-04-20,15,18
Lana Cantrell,Like A Sunday Morning,1975-03-22,63,5
Lana Del Rey,Doin' Time,2019-09-21,59,2
Lana Del Rey,High By The Beach,2015-09-12,51,3
Lana Del Rey,Love,2017-03-18,44,2
Lana Del Rey,Shades Of Cool,2014-06-14,79,1
Lana Del Rey,Ultraviolence,2014-06-21,70,1
Lana Del Rey,Video Games,2012-01-28,91,1
Lana Del Rey,West Coast,2014-07-05,17,2
Lana Del Rey,Young And Beautiful,2013-10-12,22,21
Lana Del Rey & Cedric Gervais,Summertime Sadness,2013-12-28,6,23
Lana Del Rey Featuring The Weeknd,Lust For Life,2017-05-13,64,1
Landon Pigg,Falling In Love At A Coffee Shop,2008-01-12,93,2
Lani Hall,Where's Your Angel?,1981-04-04,88,3
Lanier & Co.,After I Cry Tonight,1983-02-26,48,13
Lara Fabian,I Will Love Again,2000-09-30,32,17
Lari White,Stepping Stone,1998-09-26,73,12
Larray,Canceled,2020-10-31,81,1
Larry Bright,Mojo Workout (Dance),1960-06-13,90,3
Larry Carlton,Sleepwalk,1982-04-17,74,8
Larry Elgart And His Manhattan Swing Orchestra,Hooked On Swing,1982-08-21,31,12
Larry Finnegan,Dear One,1962-05-26,11,14
Larry Gatlin,Delta Dirt,1974-10-05,84,4
Larry Graham,Just Be My Lady,1981-10-03,67,5
Larry Graham,One In A Million You,1980-11-08,9,20
Larry Graham,When We Get Married,1980-11-15,76,4
Larry Groce,Junk Food Junkie,1976-04-17,9,15
Larry Hall,Sandy,1960-02-29,15,15
Larry John McNally,Just Like Paradise,1981-08-15,86,2
Larry Lee,Don't Talk,1982-07-03,81,2
Larry Santos,We Can't Hide It Anymore,1976-04-17,36,10
Larry Verne,Mister Livingston,1961-01-02,75,3
Larry Verne,Mr. Custer,1960-11-21,1,13
Larry Williams & Johnny Watson,"Mercy, Mercy, Mercy",1967-04-01,96,4
Larsen-Feiten Band,Who'll Be The Fool Tonight,1980-11-15,29,14
Las Ketchup,The Ketchup Song (Hey Hah),2002-12-07,54,9
Lasgo,Alone,2004-03-27,83,14
Lasgo,Something,2003-03-15,35,20
Latimore,Let's Straighten It Out,1975-01-11,31,12
Latimore,Somethin' 'bout 'cha,1977-04-09,37,10
Latin Alliance Featuring War,Low Rider (On The Boulevard),1991-10-19,54,11
Latto,Big Energy,2021-11-06,88,1
Laura Branigan,All Night With Me,1982-05-01,69,7
Laura Branigan,Gloria,1983-03-12,2,36
Laura Branigan,Hold Me,1985-11-09,82,4
Laura Branigan,How Am I Supposed To Live Without You,1983-11-12,12,20
Laura Branigan,I Found Someone,1986-04-05,90,6
Laura Branigan,Moonlight On Water,1990-05-26,59,9
Laura Branigan,Power Of Love,1988-02-20,26,18
Laura Branigan,Self Control,1984-09-29,4,25
Laura Branigan,Shattered Glass,1987-09-05,48,10
Laura Branigan,Solitaire,1983-07-09,7,17
Laura Branigan,Spanish Eddie,1985-10-05,40,11
Laura Branigan,The Lucky One,1984-11-10,20,15
Laura Branigan,Ti Amo,1985-01-19,55,12
Laura Enea,This Is The Last Time,1992-06-27,70,14
Laura Lee,Dirty Man,1967-11-04,68,7
Laura Lee,If You Can Beat Me Rockin' (You Can Have My Chair),1972-11-18,65,8
Laura Lee,Love And Liberty,1972-01-22,94,1
Laura Lee,Rip Off,1972-08-19,68,11
Laura Lee,Since I Fell For You,1972-04-01,76,5
Laura Lee,"Up Tight, Good Man",1968-01-27,93,6
Laura Lee,"Wanted: Lover, No Experience Necessary",1967-12-09,84,2
Laura Lee,Women's Love Rights,1971-11-13,36,11
Laura Nyro,Up On The Roof,1970-10-17,92,2
Lauren Alaina,Like My Mother Does,2011-06-18,20,2
Lauren Alaina,Road Less Traveled,2017-04-29,67,12
Lauren Daigle,The Christmas Song,2019-01-05,55,2
Lauren Daigle,You Say,2019-05-18,29,43
Lauren Duski,Deja Vu,2017-06-10,43,1
Lauren Duski,Ghost In This House,2017-06-03,98,1
Lauren Duski,The Dance,2017-06-10,92,1
Lauren Wood,Please Don't Leave,1979-12-29,24,15
Laurnea,Can't Let Go,1997-10-04,55,15
Lauryn Hill,Doo Wop (That Thing),1999-04-03,1,21
Lauryn Hill,Everything Is Everything,1999-10-16,35,18
Lauryn Hill,Ex-Factor,1999-06-05,21,22
Lauv,I Like Me Better,2018-12-01,27,41
Lauv & Troye Sivan,I'm So Tired...,2019-05-25,81,6
Laverne & Shirley,Sixteen Reasons,1976-12-18,65,4
Lawrence Reynolds,Jesus Is A Soul Man,1969-11-22,28,10
Lawrence Welk,Zero-Zero,1962-12-08,98,1
Lawrence Welk And His Orchestra,(Theme from) My Three Sons,1961-05-01,55,7
Lawrence Welk And His Orchestra,Apples And Bananas,1965-05-01,75,4
Lawrence Welk And His Orchestra,Baby Elephant Walk,1962-09-22,48,16
Lawrence Welk And His Orchestra,Breakwater,1963-06-22,100,1
Lawrence Welk And His Orchestra,Calcutta,1961-04-03,1,17
Lawrence Welk And His Orchestra,Last Date,1961-01-23,21,11
Lawrence Welk And His Orchestra,Runaway,1962-05-12,56,6
Lawrence Welk And His Orchestra,Scarlett O'Hara,1963-07-06,89,2
Lawrence Welk And His Orchestra,Stockholm,1964-03-21,91,2
Lawrence Welk And His Orchestra,Yellow Bird,1961-07-10,71,5
Lawrence Welk His Orchestra And Chorus,Riders In The Sky,1961-10-09,87,3
Layng Martine,Rub It In,1971-11-20,65,8
"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,2020-01-25,60,15
Lazy Racer,Keep On Running Away,1979-07-28,81,4
Le Click,Call Me,1997-08-23,35,25
Le Click,Tonight Is The Night,1997-01-18,68,20
Le Click Featuring Kayo,Don't Go,1998-02-07,62,19
Le Pamplemousse,Le Spank,1978-03-04,58,15
LeAnn Rimes,Big Deal,2000-02-26,23,20
LeAnn Rimes,Blue,1996-11-02,26,20
LeAnn Rimes,Can't Fight The Moonlight,2002-05-04,11,42
LeAnn Rimes,How Do I Live,1998-10-10,2,69
LeAnn Rimes,I Need You,2000-11-11,11,25
LeAnn Rimes,Looking Through Your Eyes,1998-09-26,18,24
LeAnn Rimes,Nothin 'Bout Love Makes Sense,2005-03-19,52,19
LeAnn Rimes,Nothin' Better To Do,2008-01-05,73,13
LeAnn Rimes,Probably Wouldn't Be This Way,2005-12-03,54,14
LeAnn Rimes,Something's Gotta Give,2006-07-22,51,18
LeAnn Rimes,You Light Up My Life,1998-01-24,34,20
LeBlanc & Carr,Falling,1978-04-22,13,28
LeBlanc & Carr,Midnight Light,1978-06-24,91,4
LeBlanc & Carr,Something About You,1977-08-06,48,6
LeRoux,Carrie's Gone,1983-04-09,81,4
LeRoux,Nobody Said It Was Easy (Lookin' For The Lights),1982-05-08,18,13
LeRoux,The Last Safe Place On Earth,1982-06-26,77,5
LeToya,Torn,2006-09-16,31,20
LeToya Featuring Ludacris,Regret,2009-12-19,78,8
Lea Michele,Cannonball,2013-12-28,75,1
Lea Roberts,All Right Now,1975-04-26,92,3
Leah Andreone,"It's Alright, It's Ok",1997-06-07,57,20
Leapy Lee,Little Arrows,1969-01-11,16,14
Led Zeppelin,Black Dog,1972-03-11,15,12
Led Zeppelin,D'yer Mak'er,1974-02-02,20,16
Led Zeppelin,Fool In The Rain,1980-03-15,21,13
Led Zeppelin,Good Times Bad Times,1969-04-19,80,4
Led Zeppelin,Immigrant Song,1971-02-13,16,13
Led Zeppelin,Living Loving Maid (She's Just A Woman),1970-04-11,65,5
Led Zeppelin,Over The Hills And Far Away,1973-08-11,51,8
Led Zeppelin,Rock And Roll,1972-04-29,47,7
Led Zeppelin,Trampled Under Foot,1975-05-31,38,7
Led Zeppelin,Whole Lotta Love,1970-02-28,4,15
Lee Allen And His Band,Tic Toc,1958-09-29,92,1
Lee Andrews And The Hearts,Try The Impossible,1958-08-11,70,2
Lee Ann Womack,(Now You See Me) Now You Don't,1999-10-16,72,11
Lee Ann Womack,A Little Past Little Rock,1999-01-02,43,10
